seed,episode,step,joint_action1,joint_action2,action1,action1_name,action2,action2_name,map,reward,result,button_pressed,pressed_by
0,1,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,1,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,1,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,1,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,1,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,2,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,2,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,2,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,2,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,2,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,3,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,3,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,3,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,3,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,3,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,4,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,4,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,4,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,4,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,4,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,5,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,5,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,5,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,5,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,5,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,6,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,6,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,6,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,6,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,6,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,7,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,7,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,7,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,7,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,7,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,8,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,8,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,8,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,8,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,8,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,9,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,9,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,9,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,9,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,9,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,10,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,10,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,10,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,10,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,10,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,11,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,11,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,11,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,11,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,11,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,12,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,12,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,12,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,12,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,12,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,13,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,13,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,13,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,13,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,13,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,14,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,14,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,14,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,14,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,14,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,15,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,15,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,15,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,15,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,15,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,16,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,16,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,16,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,16,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,16,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,17,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,17,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,17,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,17,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,17,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,18,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,18,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,18,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,18,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,18,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,19,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,19,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,19,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,19,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,19,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,20,1,6,6,1,DOWN,0,UP,1r.|...|.b2,0.0,neutral,,
0,20,2,8,8,1,DOWN,2,LEFT,.r.|1.2|.b.,0.0,neutral,,
0,20,3,18,18,3,RIGHT,0,UP,.r.|.2.|1b.,0.0,neutral,,
0,20,4,10,10,1,DOWN,4,PRESS,.2.|...|.1.,0,neutral,red,2
0,20,5,24,24,4,PRESS,0,UP,.2.|...|.1.,1,win,blue,1
0,21,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,21,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,21,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,21,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,21,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,21,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,22,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,22,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,22,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,22,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,22,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,22,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,23,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,23,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,23,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,23,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,23,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,23,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,24,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,24,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,24,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,24,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,24,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,24,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,25,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,25,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,25,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,25,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,25,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,25,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,26,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,26,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,26,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,26,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,26,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,26,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,27,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,27,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,27,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,27,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,27,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,27,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,28,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,28,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,28,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,28,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,28,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,28,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,29,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,29,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,29,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,29,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,29,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,29,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,30,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,30,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,30,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,30,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,30,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,30,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,31,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,31,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,31,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,31,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,31,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,31,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,32,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,32,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,32,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,32,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,32,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,32,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,33,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,33,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,33,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,33,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,33,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,33,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,34,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,34,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,34,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,34,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,34,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,34,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,35,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,35,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,35,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,35,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,35,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,35,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,36,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,36,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,36,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,36,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,36,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,36,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,37,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,37,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,37,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,37,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,37,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,37,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,38,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,38,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,38,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,38,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,38,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,38,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,39,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,39,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,39,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,39,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,39,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,39,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,40,1,6,6,1,DOWN,0,UP,1br|...|..2,0.0,neutral,,
0,40,2,8,8,1,DOWN,2,LEFT,.br|1.2|...,0.0,neutral,,
0,40,3,18,18,3,RIGHT,0,UP,.br|.2.|1..,0.0,neutral,,
0,40,4,3,3,0,UP,3,RIGHT,.2r|...|.1.,0.0,neutral,,
0,40,5,4,4,0,UP,4,PRESS,.b2|.1.|...,0,neutral,red,2
0,40,6,24,24,4,PRESS,0,UP,.12|...|...,1,win,blue,1
0,41,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,41,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,41,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,41,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,41,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,42,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,42,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,42,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,42,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,42,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,43,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,43,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,43,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,43,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,43,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,44,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,44,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,44,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,44,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,44,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,45,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,45,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,45,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,45,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,45,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,46,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,46,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,46,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,46,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,46,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,47,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,47,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,47,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,47,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,47,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,48,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,48,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,48,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,48,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,48,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,49,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,49,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,49,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,49,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,49,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,50,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,50,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,50,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,50,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,50,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,51,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,51,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,51,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,51,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,51,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,52,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,52,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,52,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
