seed,episode,step,joint_action1,joint_action2,action1,action1_name,action2,action2_name,map,reward,result,button_pressed,pressed_by
0,52,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,52,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,53,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,53,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,53,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,53,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,53,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,54,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,54,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,54,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,54,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,54,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,55,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,55,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,55,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,55,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,55,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,56,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,56,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,56,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,56,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,56,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,57,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,57,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,57,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,57,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,57,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,58,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,58,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,58,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,58,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,58,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,59,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,59,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,59,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,59,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,59,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,60,1,6,6,1,DOWN,0,UP,1r.|...|b.2,0.0,neutral,,
0,60,2,8,8,1,DOWN,2,LEFT,.r.|1.2|b..,0.0,neutral,,
0,60,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,60,4,16,16,2,LEFT,4,PRESS,.2.|...|b1.,0,neutral,red,2
0,60,5,24,24,4,PRESS,0,UP,.2.|...|1..,1,win,blue,1
0,61,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,61,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,61,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,61,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,61,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,61,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,61,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,62,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,62,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,62,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,62,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,62,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,62,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,62,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,63,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,63,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,63,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,63,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,63,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,63,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,63,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,64,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,64,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,64,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,64,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,64,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,64,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,64,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,65,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,65,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,65,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,65,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,65,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,65,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,65,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,66,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,66,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,66,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,66,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,66,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,66,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,66,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,67,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,67,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,67,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,67,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,67,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,67,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,67,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,68,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,68,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,68,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,68,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,68,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,68,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,68,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,69,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,69,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,69,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,69,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,69,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,69,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,69,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,70,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,70,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,70,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,70,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,70,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,70,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,70,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,71,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,71,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,71,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,71,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,71,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,71,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,71,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,72,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,72,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,72,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,72,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,72,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,72,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,72,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,73,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,73,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,73,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,73,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,73,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,73,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,73,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,74,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,74,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,74,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,74,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,74,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,74,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,74,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,75,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,75,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,75,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,75,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,75,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,75,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,75,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,76,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,76,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,76,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,76,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,76,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,76,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,76,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,77,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,77,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,77,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,77,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,77,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,77,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,77,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,78,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,78,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,78,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,78,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,78,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,78,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,78,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,79,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,79,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,79,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,79,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,79,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,79,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,79,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,80,1,6,6,1,DOWN,0,UP,1..|b..|.r2,0.0,neutral,,
0,80,2,18,18,3,RIGHT,0,UP,...|1.2|.r.,0.0,neutral,,
0,80,3,8,8,1,DOWN,2,LEFT,..2|b1.|.r.,0.0,neutral,,
0,80,4,24,24,4,PRESS,0,UP,.2.|b..|.1.,0,neutral,red,1
0,80,5,0,0,0,UP,0,UP,.2.|b..|.1.,0.0,neutral,,
0,80,6,12,12,2,LEFT,0,UP,.2.|b1.|.R.,0.0,neutral,,
0,80,7,24,24,4,PRESS,0,UP,.2.|1..|.R.,1,win,blue,1
0,81,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,81,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,81,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,81,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,81,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,82,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,82,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,82,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,82,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,82,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,83,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,83,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,83,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,83,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,83,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,84,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,84,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,84,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,84,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,84,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,85,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,85,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,85,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,85,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,85,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,86,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,86,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,86,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,86,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,86,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,87,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,87,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,87,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,87,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,87,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,88,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,88,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,88,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,88,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,88,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,89,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,89,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,89,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,89,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,89,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,90,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,90,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,90,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,90,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,90,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,91,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,91,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,91,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,91,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,91,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,92,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,92,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,92,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,92,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,92,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,93,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,93,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,93,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,93,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,93,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,94,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,94,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,94,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,94,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,94,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,95,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,95,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,95,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,95,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,95,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,96,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,96,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,96,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,96,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,96,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,97,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,97,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,97,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,97,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,97,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,98,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,98,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,98,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,98,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,98,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,99,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,99,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,99,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,99,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,99,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
0,100,1,6,6,1,DOWN,0,UP,1r.|.b.|..2,0.0,neutral,,
0,100,2,8,8,1,DOWN,2,LEFT,.r.|1b2|...,0.0,neutral,,
0,100,3,18,18,3,RIGHT,0,UP,.r.|.2.|1..,0.0,neutral,,
0,100,4,4,4,0,UP,4,PRESS,.2.|.b.|.1.,0,neutral,red,2
0,100,5,24,24,4,PRESS,0,UP,.2.|.1.|...,1,win,blue,1
